Vastus medialis (mV)	Time (ms)
0.0015	0.799
0.0015	0.8
0.0037	0.801
0.0067	0.802
0.0037	0.803
0.003	0.804
0.0037	0.805
0.0037	0.806
0.0007	0.807
-0.0008	0.808
-0.003	0.809
-0.0015	0.81
-0.0008	0.811
-0.0008	0.812
0.0037	0.813
0.003	0.814
0.0015	0.815
0.0007	0.816
-0.0008	0.817
-0.0008	0.818
-0.0008	0.819
-0.0023	0.82
-0.0008	0.821
0.0022	0.822
-0.0008	0.823
-0.0008	0.824
0.0	0.825
-0.0015	0.826
-0.0023	0.827
-0.0008	0.828
-0.0008	0.829
-0.003	0.83
-0.0008	0.831
-0.0015	0.832
-0.003	0.833
-0.0015	0.834
-0.0015	0.835
-0.0015	0.836
-0.0008	0.837
-0.0008	0.838
-0.0008	0.839
0.0007	0.84
-0.0015	0.841
-0.0015	0.842
-0.0015	0.843
-0.0008	0.844
0.0	0.845
0.0	0.846
0.003	0.847
0.0052	0.848
0.006	0.849
0.0045	0.85
0.003	0.851
0.0007	0.852
0.0007	0.853
0.003	0.854
0.0007	0.855
0.0007	0.856
0.0007	0.857
0.0007	0.858
0.0007	0.859
-0.0015	0.86
-0.0053	0.861
-0.006	0.862
-0.0046	0.863
-0.003	0.864
-0.0023	0.865
0.0007	0.866
0.0045	0.867
0.006	0.868
0.0067	0.869
0.0082	0.87
0.0052	0.871
0.0052	0.872
0.0052	0.873
0.0045	0.874
0.003	0.875
0.0	0.876
-0.0008	0.877
-0.0038	0.878
-0.003	0.879
-0.0008	0.88
-0.0008	0.881
-0.0008	0.882
-0.0015	0.883
-0.0015	0.884
-0.0015	0.885
0.0	0.886
-0.0008	0.887
-0.0053	0.888
-0.0068	0.889
-0.0091	0.89
-0.0105	0.891
-0.0068	0.892
-0.0053	0.893
-0.003	0.894
-0.003	0.895
-0.0015	0.896
-0.0015	0.897
-0.0015	0.898
-0.0008	0.899
0.0007	0.9
0.0015	0.901
0.003	0.902
0.0022	0.903
0.0022	0.904
0.0007	0.905
0.0015	0.906
0.003	0.907
0.003	0.908
0.0045	0.909
0.0052	0.91
0.0022	0.911
0.0007	0.912
-0.0008	0.913
-0.0015	0.914
-0.0023	0.915
-0.003	0.916
-0.0053	0.917
-0.0046	0.918
-0.003	0.919
-0.0053	0.92
-0.006	0.921
-0.0068	0.922
-0.0075	0.923
-0.0046	0.924
-0.0008	0.925
0.0015	0.926
0.0022	0.927
0.0045	0.928
0.0082	0.929
0.0082	0.93
0.009	0.931
0.0082	0.932
0.006	0.933
0.0045	0.934
0.003	0.935
0.0052	0.936
0.0045	0.937
0.0037	0.938
-0.0008	0.939
-0.0038	0.94
-0.003	0.941
-0.003	0.942
-0.003	0.943
-0.006	0.944
-0.0046	0.945
-0.003	0.946
-0.003	0.947
-0.003	0.948
-0.0023	0.949
-0.0015	0.95
-0.0008	0.951
0.0037	0.952
0.0067	0.953
0.006	0.954
0.0052	0.955
0.003	0.956
0.0022	0.957
0.0015	0.958
0.0015	0.959
0.003	0.96
0.0015	0.961
0.0007	0.962
0.0	0.963
-0.0015	0.964
-0.0015	0.965
-0.0008	0.966
-0.0015	0.967
-0.003	0.968
-0.0038	0.969
-0.0046	0.97
-0.003	0.971
-0.0023	0.972
-0.0015	0.973
-0.0008	0.974
0.0007	0.975
0.003	0.976
0.003	0.977
0.003	0.978
0.0022	0.979
-0.0008	0.98
0.0007	0.981
0.0015	0.982
0.0007	0.983
-0.0008	0.984
-0.0015	0.985
0.0007	0.986
0.0022	0.987
0.003	0.988
0.0	0.989
-0.0023	0.99
-0.0046	0.991
-0.0046	0.992
-0.003	0.993
-0.0053	0.994
-0.0046	0.995
-0.0068	0.996
-0.0046	0.997
-0.0015	0.998
0.0007	0.999
0.003	1.0
0.0037	1.001
0.0067	1.002
0.0105	1.003
0.0105	1.004
0.0105	1.005
0.0105	1.006
0.009	1.007
0.0067	1.008
0.0045	1.009
0.0	1.01
-0.0038	1.011
-0.0053	1.012
-0.003	1.013
-0.0038	1.014
-0.0046	1.015
-0.003	1.016
-0.0068	1.017
-0.0091	1.018
-0.0068	1.019
-0.0075	1.02
-0.0091	1.021
-0.0068	1.022
-0.0038	1.023
-0.0015	1.024
0.0007	1.025
0.003	1.026
0.0037	1.027
0.0022	1.028
0.003	1.029
0.003	1.03
0.003	1.031
0.0037	1.032
0.0052	1.033
0.0022	1.034
-0.0015	1.035
-0.0046	1.036
-0.0053	1.037
-0.0075	1.038
-0.0083	1.039
-0.0075	1.04
-0.0083	1.041
-0.006	1.042
-0.0008	1.043
0.0022	1.044
0.0045	1.045
0.0075	1.046
0.009	1.047
0.009	1.048
0.0067	1.049
0.006	1.05
0.0037	1.051
0.0007	1.052
0.0015	1.053
0.0015	1.054
0.0022	1.055
0.0007	1.056
0.0	1.057
0.0015	1.058
0.0007	1.059
0.0007	1.06
-0.0015	1.061
-0.0015	1.062
-0.0023	1.063
-0.0046	1.064
-0.0046	1.065
-0.0075	1.066
-0.0068	1.067
-0.006	1.068
-0.0053	1.069
-0.0046	1.07
-0.0008	1.071
0.003	1.072
0.006	1.073
